"","LSOA21CD","distance_any_greenspace","distance_doorstop_greenspace","distance_local_greenspace","distance_neighbourhood_greenspace","distance_wider_greenspace","distance_district_greenspace","distance_subregional_greenspace","LSOA11CD"
"1008","E01012514",254.8949093,341.6192492,385.8135746,824.62566835,1367.9882315,6431.5458695,11365.22264,"E01012514"
"1009","E01012515",243.4674094,352.92647325,602.9717141,949.6790614,949.6790614,5227.2013725,10063.696245,"E01012515"
"1010","E01012516",131.83355605,152.8302799,215.8560725,661.4321535,661.4321535,5686.9566895,10699.39323,"E01012516"
"1011","E01012517",290.5465221,432.27160175,965.15707655,1118.2241525,1650.6020215,5721.966076,12225.269925,"E01012517"
"1012","E01012518",153.376484,346.8575351,763.5341695,763.5341695,1942.630973,6083.783474,12397.66644,"E01012518"
"1013","E01012519",161.1017115,161.1017115,257.9242384,307.01245095,307.01245095,4916.203008,10479.171765,"E01012519"
"1014","E01012520",127.1993045,240.0474616,276.4824833,557.7848483,1407.443356,6041.3496905,9737.38601,"E01012520"
"1015","E01012521",164.78025675,184.8864982,519.6656964,597.89155085,1774.620752,5726.459506,10200.746195,"E01012521"
"1016","E01012522",335.0767793,367.039279,371.5209647,591.8967263,1798.083666,5271.971711,10002.13044,"E01012522"
"1017","E01012523",124.6024829,181.9238796,181.9238796,181.9238796,1885.352018,5613.896278,9469.34822,"E01012523"
"1018","E01012524",150.4449648,231.8247021,231.8247021,308.6185552,2058.14224,5334.892513,9530.171109,"E01012524"
"1019","E01012525",276.85019435,348.9599163,372.816292,372.816292,1761.6866715,5484.027506,9239.967695,"E01012525"
"1020","E01012526",149.1158505,263.8859251,272.5321999,969.8777243,1427.62012,6369.020233,10039.38023,"E01012526"
"1021","E01012527",204.11091845,354.55892055,380.92272125,1407.5648585,1894.9047755,7353.352241,11017.056155,"E01012527"
"1022","E01012528",166.8902763,315.8091166,535.8043933,1212.990621,1212.990621,6986.757447,11536.12477,"E01012528"
"1023","E01012529",144.1259588,210.4659871,605.2126012,913.1402084,923.4721553,7073.252012,11932.98373,"E01012529"
"1024","E01012530",336.31281705,346.7397299,573.79797415,617.7647185,617.7647185,6502.1564095,12407.21684,"E01012530"
"1025","E01012531",212.1377285,241.7710172,679.15658775,958.53842215,1428.3853325,7559.489267,11766.85627,"E01012531"
"1026","E01012532",134.0345341,146.409827,326.7224196,883.7069046,1731.313608,7688.970104,11274.0846,"E01012532"
"1027","E01012533",114.1724166,139.0840123,139.0840123,1004.764054,1006.920768,4929.595177,10578.12665,"E01012533"
"1028","E01012534",130.2919081,173.9192453,173.9192453,1137.067401,1320.252894,5556.02817,10696.58829,"E01012534"
"1029","E01012535",179.9630013,300.25978575,308.2800835,981.64384475,1651.518841,5870.1139265,10453.642155,"E01012535"
"1030","E01012536",132.2859316,161.0119904,161.0119904,836.8397469,1592.9553845,4972.442352,10046.84835,"E01012536"
"1031","E01012537",156.5991867,323.2019334,323.2019334,901.0107089,1601.592007,6693.874973,10409.65124,"E01012537"
"1032","E01012538",146.1710807,146.1710807,146.1710807,343.0548964,343.0548964,4670.535897,11294.66271,"E01012538"
"1033","E01012539",179.1133469,288.0312836,288.0312836,1086.0108455,1790.3609885,6489.421055,10655.557505,"E01012539"
"1034","E01012540",102.40113435,108.1337636,177.44089405,744.887557,744.887557,3823.664693,10515.459905,"E01012540"
"1035","E01012541",78.23323781,78.23323781,86.88770014,219.5311698,219.5311698,3678.12376,11085.80645,"E01012541"
"1036","E01012542",90.57027904,104.27283785,117.29885335,303.6376047,303.6376047,4257.040332,11043.88318,"E01012542"
"1037","E01012543",131.0241054,148.5714293,153.104335,790.9374712,790.9374712,3306.280132,10710.98931,"E01012543"
"1038","E01012544",131.1069574,170.8472912,249.9957843,649.9413519,649.9413519,3140.318258,10703.065215,"E01012544"
"1039","E01012545",161.1224147,169.67576555,269.4836076,1088.638336,1088.638336,4268.0850305,10338.62858,"E01012545"
"1040","E01012546",136.19789,147.37952115,156.30412275,1172.870146,1581.4071655,4551.3531215,9963.568852,"E01012546"
"1041","E01012547",201.01331115,228.4728014,256.23904325,826.6559628,1025.1365765,4860.704251,8978.926335,"E01012547"
"1042","E01012548",127.9777846,204.9856811,260.0464599,393.2773812,393.2773812,3966.545589,9686.90678,"E01012548"
